Players_ID,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1035,35,Jevon Carter,PG,27,MIL,4,0,12.3,0.5,2.3,0.0,0.0,1.0,1.0,1.0,0.3,0.0,0.0,0.3,1.3
1036,36,Justin Champagnie,SF,21,BOS,1,0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1037,37,Max Christie,SG,19,LAL,8,0,4.0,0.6,1.3,0.5,0.0,0.8,0.8,0.4,0.0,0.1,0.0,0.0,1.6
1038,38,Nic Claxton,C,23,BRK,4,4,29.3,4.5,6.3,0.6,1.3,6.8,8.0,1.5,0.3,1.8,0.8,2.0,10.5
1039,39,Amir Coffey,SG,25,LAC,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1040,40,John Collins,PF,25,ATL,6,6,27.3,4.3,10.0,0.833,1.2,3.2,4.3,0.8,0.3,1.0,1.5,2.2,11.3
1041,41,Mike Conley,PG,35,MIN,5,5,36.6,4.0,8.4,0.909,0.4,2.2,2.6,6.4,0.6,0.0,1.4,2.2,12.0
1042,42,Pat Connaughton,SG,30,MIL,4,0,22.0,4.3,7.5,0.75,1.0,4.0,5.0,1.8,1.0,0.3,0.5,2.5,12.0
1043,43,Robert Covington,PF,32,LAC,2,0,6.0,0.0,1.5,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0.0
1044,44,Torrey Craig,SF,32,PHO,11,5,16.6,2.4,4.1,0.889,0.6,1.6,2.3,0.5,0.5,0.2,0.3,2.1,6.5
1045,45,Jae Crowder,SF,32,MIL,4,0,10.3,0.8,3.3,0.5,0.3,0.8,1.0,0.8,0.5,0.0,0.3,1.3,1.8
1046,46,Seth Curry,SG,32,BRK,3,0,19.3,3.3,6.3,0.667,0.0,1.0,1.0,2.0,0.0,0.0,0.3,0.7,8.3
1047,47,Stephen Curry,PG,34,GSW,13,13,37.9,11.2,23.9,0.845,0.7,4.5,5.2,6.1,1.0,0.5,3.2,2.6,30.5
1048,48,Anthony Davis,C,29,LAL,12,12,36.9,8.1,15.3,0.838,2.4,11.7,14.1,2.7,1.4,3.3,2.3,2.7,21.2
1049,49,Terence Davis,SG,25,SAC,4,0,14.5,2.0,5.0,1.0,0.5,1.8,2.3,1.5,0.3,0.0,0.5,3.0,6.0
1050,50,Dewayne Dedmon,C,33,PHI,1,0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
1051,51,Spencer Dinwiddie,PG,29,BRK,4,4,39.8,5.5,12.8,0.682,0.3,3.0,3.3,6.5,1.3,0.3,3.0,1.8,16.5
