Players_ID,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1328,328,Jordan McLaughlin,PG,26,MIN,43,0,15.8,1.4,3.4,0.833,0.3,1.1,1.4,3.4,0.7,0.1,0.8,0.7,3.7
1329,329,De'Anthony Melton,PG,24,PHI,77,58,27.9,3.6,8.5,0.793,0.9,3.2,4.1,2.6,1.6,0.5,1.3,2.5,10.1
1330,330,Sam Merrill,SG,26,CLE,5,0,11.8,1.8,4.4,1.0,0.0,1.8,1.8,1.0,0.8,0.0,0.0,0.6,5.0
1331,331,Chimezie Metu,C,25,SAC,66,0,10.4,2.0,3.3,0.74,0.7,2.3,3.0,0.6,0.3,0.3,0.5,1.2,4.9
1332,332,Khris Middleton,SF,31,MIL,33,19,24.3,5.4,12.3,0.902,0.8,3.4,4.2,4.9,0.7,0.2,2.2,2.1,15.1
1333,333,Patty Mills,PG,34,BRK,40,2,14.2,2.2,5.2,0.833,0.2,0.9,1.1,1.4,0.4,0.1,0.8,0.8,6.2
1334,334,Shake Milton,SG,26,PHI,76,11,20.6,3.2,6.6,0.853,0.5,2.0,2.5,3.2,0.3,0.2,1.2,1.6,8.4
1335,335,Justin Minaya,SF,23,POR,4,0,22.3,1.8,5.8,0.0,0.8,3.0,3.8,1.0,0.5,1.3,1.0,2.3,4.3
1336,336,Josh Minott,SF,20,MIN,15,0,6.4,1.2,2.4,1.0,0.3,1.3,1.7,0.3,0.3,0.4,0.2,0.7,3.1
1337,337,Davion Mitchell,PG,24,SAC,80,9,18.1,2.3,5.0,0.806,0.2,1.1,1.3,2.3,0.6,0.2,0.8,1.4,5.6
1338,338,Donovan Mitchell,SG,26,CLE,68,68,35.8,10.0,20.6,0.867,0.9,3.3,4.3,4.4,1.5,0.4,2.6,2.5,28.3
1339,339,Evan Mobley,PF,21,CLE,79,79,34.4,6.6,12.0,0.674,2.4,6.6,9.0,2.8,0.8,1.5,1.8,2.8,16.2
1340,340,Isaiah Mobley,PF,23,CLE,13,0,6.5,0.9,2.2,1.0,0.3,1.2,1.5,0.2,0.3,0.2,0.1,0.6,2.4
1341,341,Chima Moneke,SF,27,SAC,2,0,4.0,0.5,1.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0
1342,342,Malik Monk,SG,24,SAC,77,0,22.3,4.6,10.3,0.889,0.4,2.2,2.6,3.9,0.6,0.3,1.9,1.6,13.5
1343,343,Moses Moody,SG,20,GSW,63,3,13.0,1.7,3.6,0.698,0.4,1.2,1.7,0.8,0.3,0.1,0.5,0.9,4.8
1344,344,Xavier Moon,SG,28,LAC,4,0,5.0,0.8,2.3,0.0,0.0,0.8,0.8,1.3,0.0,0.0,0.3,0.5,1.8
1345,345,Wendell Moore Jr.,SG,21,MIN,29,2,5.3,0.6,1.5,0.8,0.1,0.5,0.6,0.6,0.3,0.2,0.3,0.4,1.4
1346,346,Ja Morant,PG,23,MEM,61,59,31.9,9.3,19.9,0.748,1.0,4.9,5.9,8.1,1.1,0.3,3.4,1.6,26.2
1347,347,Marcus Morris,PF,33,LAC,65,65,28.1,4.2,9.9,0.782,0.4,3.5,4.0,1.8,0.6,0.3,0.9,2.1,11.2
1348,348,Markieff Morris,PF,33,TOT,35,2,10.1,1.3,3.3,1.0,0.4,1.7,2.0,0.9,0.3,0.1,0.5,1.4,3.8
1348,348,Markieff Morris,PF,33,BRK,27,1,10.6,1.2,3.0,1.0,0.5,1.7,2.2,0.9,0.3,0.2,0.5,1.2,3.6
